Rays/Angles,Reconstruction Size Multiplier,Error
20,1.0,39.14949655802996
20,2.0,35.06993967204556
20,3.0,35.068436708928886
20,4.0,35.06801307259192
20,5.0,35.068305337581265
40,1.0,23.490407996858554
40,2.0,14.813430680682316
40,3.0,14.815108947545726
40,4.0,14.816009878778413
40,5.0,14.816542343623556
80,1.0,21.050370593797048
80,2.0,10.446474939096454
80,3.0,10.446969155846077
80,4.0,10.448116062383095
80,5.0,10.448632598434074
160,1.0,22.024457461785016
160,2.0,12.405743384146861
160,3.0,12.405741956726581
160,4.0,12.406472905163469
160,5.0,12.406857257033348
320,1.0,22.338433385182615
320,2.0,12.914164656054204
320,3.0,12.914390061506992
320,4.0,12.915151242733941
320,5.0,12.91553424473582
640,1.0,22.439497930401757
640,2.0,13.098018451471633
640,3.0,13.098176537633035
640,4.0,13.098912569497822
640,5.0,13.099285160788586
